City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
388,cartagena del chaira,1.3349,-74.8429,23.03,96,61,0.27,CO,1707364544
389,angaur state,6.906,134.13,27.61,74,45,8.01,PW,1707364544
390,sailana,23.4667,74.9167,16.44,36,100,7.27,IN,1707364544
391,pisco,-13.7,-76.2167,24.03,88,0,5.14,PE,1707364544
392,parabel',58.6978,81.4825,-5.61,88,100,3.58,RU,1707364544
393,wenling,28.3669,121.36,5.21,79,100,4.33,CN,1707364544
394,gadzhiyevo,69.2551,33.3362,-23.96,100,93,3.51,RU,1707364544
395,baxter,46.3433,-94.2867,8.18,61,100,5.14,US,1707364545
396,drayton valley,53.2168,-114.9854,-7.52,98,100,0.29,CA,1707364545
397,agat village,13.3886,144.6585,31.52,62,20,7.72,GU,1707364545
398,sambuca di sicilia,37.6494,13.1109,10.64,94,31,1.63,IT,1707364545
399,huanan,46.2167,130.5167,-9.54,86,92,5.69,CN,1707364545
400,el calafate,-50.3408,-72.2768,7.75,85,53,5.9,AR,1707364545
401,dubovka,49.0583,44.829,3.53,87,98,9.53,RU,1707364545
402,magadan,59.5667,150.8,-17.85,80,12,1.46,RU,1707364546
403,tromso,69.6496,18.957,-8.99,67,100,4.12,NO,1707364546
404,howard springs,-12.497,131.047,31.95,78,84,2.28,AU,1707364546
405,wellston,39.1234,-82.5329,5.38,69,98,1.55,US,1707364546
406,arafat,21.3594,39.9664,20.94,73,44,0.37,SA,1707364546
407,menongue,-14.6585,17.691,16.8,97,100,0.51,AO,1707364546
408,howrah,22.5892,88.3103,21.0,43,13,5.66,IN,1707364546
409,tamiahua,21.2667,-97.45,19.06,84,1,4.96,MX,1707364546
410,mlimba,-8.8,35.8167,21.62,94,66,1.12,TZ,1707364547
411,faya-largeau,17.9257,19.1043,14.03,31,22,6.39,TD,1707364547
412,lorengau,-2.0226,147.2712,28.03,79,100,8.43,PG,1707364547
413,sungai raya,0.7,108.9,30.68,66,68,1.97,ID,1707364547
414,fortaleza,-3.7227,-38.5247,29.07,79,40,5.14,BR,1707364547
415,winder,33.9926,-83.7202,7.06,76,0,0.0,US,1707364547
416,ambovombe,-25.1667,46.0833,23.22,80,0,0.38,MG,1707364547
417,vorgashor,67.5833,63.95,-5.87,86,100,5.91,RU,1707364547
418,dosso,13.049,3.1937,17.81,19,2,4.48,NE,1707364547
419,usman',52.0466,39.7288,-0.98,83,88,7.58,RU,1707364548
420,vlore,40.4667,19.4897,11.65,72,100,4.43,AL,1707364548
421,mogocha,53.7333,119.7667,-10.34,71,24,0.35,RU,1707364548
422,saldanha,-33.0117,17.9442,17.03,85,13,3.75,ZA,1707364548
423,hafnarfjordur,64.0671,-21.9377,-3.79,73,0,1.54,IS,1707364548
424,tyukhtet,56.5389,89.3011,-9.47,83,58,4.32,RU,1707364548
425,jiuquan,39.7432,98.5174,-0.86,37,80,1.38,CN,1707364548
426,taltal,-25.4,-70.4833,21.26,83,29,1.13,CL,1707364549
427,mata-utu,-13.2816,-176.1745,28.67,82,100,9.04,WF,1707364549
428,moyynkum,44.2914,72.9469,-1.31,98,100,4.46,KZ,1707364549
429,san felipe,10.3399,-68.7425,23.07,97,88,1.53,VE,1707364549
430,glendive,47.1053,-104.7125,-0.21,100,100,2.06,US,1707364549
431,nadi,-17.8,177.4167,28.0,78,75,2.06,FJ,1707364549
432,sena madureira,-9.0656,-68.6569,24.1,92,88,1.06,BR,1707364549
433,aoulef,26.9667,1.0833,14.46,26,33,4.45,DZ,1707364549
434,elista,46.3078,44.2558,6.29,75,8,10.0,RU,1707364550
435,severo-yeniseyskiy,60.3725,93.0408,-8.46,97,98,0.71,RU,1707364550
436,olyokminsk,60.3736,120.4264,-24.77,94,98,0.61,RU,1707364550
437,simrishamn,55.5565,14.3504,0.75,98,100,8.64,SE,1707364550
438,rizhao,35.4275,119.4553,2.61,45,100,1.26,CN,1707364550
439,inyonga,-6.7167,32.0667,17.23,95,6,1.15,TZ,1707364550
440,alice springs,-23.7,133.8833,34.01,14,11,7.72,AU,1707364550
441,mariehamn,60.0973,19.9348,-4.54,93,100,1.03,AX,1707364550
442,carnarvon,-24.8667,113.6333,32.75,42,0,3.28,AU,1707364550
443,durango,24.8333,-104.8333,10.31,43,4,3.05,MX,1707364551
444,pasuquin,18.3328,120.6177,28.97,70,20,2.57,PH,1707364551
445,san pedro,14.35,121.0167,30.2,66,40,3.6,PH,1707364416
446,guerrero negro,27.9769,-114.0611,15.1,65,2,4.15,MX,1707364551
447,bukittinggi,-0.3091,100.3706,24.8,75,96,0.6,ID,1707364551
448,pangkalanbuun,-2.6833,111.6167,33.62,50,63,1.8,ID,1707364377
449,boali,4.8005,18.1275,23.04,33,22,1.64,CF,1707364551
450,dumka,24.2667,87.25,20.84,22,11,5.94,IN,1707364551
451,mueang nonthaburi,13.8608,100.5148,35.55,61,20,4.63,TH,1707364551
452,gaalkacyo,6.7697,47.4308,21.63,79,50,5.46,SO,1707364552
453,roccella ionica,38.322,16.4009,13.52,81,13,5.71,IT,1707364552
454,jitra,6.2681,100.4217,30.94,58,20,3.13,MY,1707364552
455,euclides da cunha,-10.5075,-39.0158,22.51,86,100,3.34,BR,1707364552
456,hailin,44.5833,129.4167,-9.62,78,15,1.74,CN,1707364552
457,khanty-mansiysk,61.0042,69.0019,-4.94,93,75,4.02,RU,1707364552
458,nar'yan-mar,67.6713,53.087,-17.16,96,100,5.81,RU,1707364552
459,namibe,-15.1961,12.1522,25.18,77,99,3.82,AO,1707364552
460,hadibu,12.65,54.0333,25.69,68,100,5.81,YE,1707364527
461,alamos,27.0167,-108.9333,13.69,57,1,1.44,MX,1707364553
462,sao miguel do araguaia,-13.275,-50.1628,24.13,83,65,1.84,BR,1707364553
463,chandbali,20.7833,86.7667,24.96,56,0,4.94,IN,1707364553
464,ciudad lazaro cardenas,17.9583,-102.2,24.05,82,17,2.15,MX,1707364540
465,nyurba,63.2842,118.3319,-29.3,99,100,1.46,RU,1707364553
466,rio vista,38.1558,-121.6913,9.56,86,66,3.23,US,1707364553
467,sadovoye,47.7764,44.5089,5.04,83,62,9.35,RU,1707364553
468,padre bernardo,-15.35,-48.5,20.64,92,100,0.65,BR,1707364554
469,panama city beach,30.1766,-85.8055,10.06,76,0,1.54,US,1707364379
470,lisala,2.15,21.5167,20.68,45,56,0.74,CD,1707364554
471,chibougamau,49.9168,-74.3659,-2.21,93,100,2.06,CA,1707364554
472,karkira,36.9292,6.5856,11.25,72,5,4.21,DZ,1707364554
473,crotone,39.0851,17.1178,12.12,59,15,1.63,IT,1707364554
474,meizhou,24.2977,116.1072,12.48,70,92,1.95,CN,1707364554
475,aketi,2.7388,23.7833,18.64,51,6,0.76,CD,1707364554
476,vorkuta,67.5,64.0,-6.45,88,100,5.01,RU,1707364526
